rep,Repertory,spotify,col
Herman-Schmerman-Pas-de-Deux,Herman Schmerman Pas de Deux,,https://www.youtube.com/embed/2ou1MDiQAYM?si=8Llr0rOpVRvhty4e
Love-Letter-on-shuffle,Love Letter (on shuffle),,https://www.youtube.com/embed/XNrfGVzXcbc?si=h_ai4P2qAW84CZOP
A-Midsummer-Nights-Dream,A Midsummer Night’s Dream,https://open.spotify.com/embed/track/44rDdbTIyoXJyWxAnUv5ys?utm_source=generator&theme=0,https://www.youtube.com/embed/_XdsZglVDW0?si=7zUTEHHfkSkUAmWE
Dances-at-a-Gathering,Dances at a Gathering,https://open.spotify.com/embed/track/7K9KajdlSFF9Ee0MwJlEsY?utm_source=generator&theme=0,https://www.youtube.com/embed/eVMECHkOfHk?si=2nUoU3gM3vVDFQOZ
Brahms-Schoenberg-Quartet,Brahms-Schoenberg Quartet,https://open.spotify.com/embed/track/1RjLGVlGZfz5jf3Jb4fXIY?utm_source=generator&theme=0,https://www.youtube.com/embed/zE5LDPx3XUg?si=pTkZJI16Lp_tMA34
Interplay,Interplay,https://open.spotify.com/embed/track/05kJSez1z6Ast6tJkfkz4X?utm_source=generator&theme=0,https://www.youtube.com/embed/J8k1lhn7j3g?si=-NwWPhfxKOGSQK9s
Other-Dances,Other Dances,https://open.spotify.com/embed/track/2DmnzwOjOsOl5ikXk4bOQp?utm_source=generator&theme=0,https://www.youtube.com/embed/eFvnuRzzh-A?si=b3JJzF4BjavWKRuy
Gustave-le-Gray-No-1,Gustave le Gray No. 1,https://open.spotify.com/embed/track/5fRTdpv4ieZRdXgrjXs4l7?utm_source=generator&theme=0,https://www.youtube.com/embed/ed2qRUITMX4?si=0EV-Wzf7pNxXFtEH
Year-of-the-Rabbit,Year of the Rabbit,https://open.spotify.com/embed/track/2T5aRG3xr6oPhoQN9JG3PF?utm_source=generator&theme=0,https://www.youtube.com/embed/tY7WmSrfFHU?si=7T7IhfupR-L63OBx
scenes-de-ballet-wheeldon,Scenes de Ballet,https://open.spotify.com/embed/track/10vIXj9M6UYXj2MMa1B9j3?utm_source=generator&theme=0,https://www.youtube.com/embed/TAISNDubIlw?si=O2b2E0kHFQVBdpUs
Pulcinella-Variations,Pulcinella Variations,https://open.spotify.com/embed/track/3bhyRTTGNDsUsEEUb64WIa?utm_source=generator&theme=0,https://www.youtube.com/embed/HAJxKjWaFBA?si=qvBYMevSLBld9ffa
Symphony-in-Three-Movements,Symphony in Three Movements,https://open.spotify.com/embed/track/0Fup1YchRBAcUlatJvopr3?utm_source=generator&theme=0,https://www.youtube.com/embed/qw3nHcQD24E?si=19n4Rib1qQjc14KO
Fancy-Free,Fancy Free,https://open.spotify.com/embed/track/3nzAUcpT4T4Rr5AG48z0hB?utm_source=generator&theme=0,https://www.youtube.com/embed/dLLbCwFcHsU?si=VGqPAUJaatv0VHc3
In-the-Night,In the Night,https://open.spotify.com/embed/track/1G5RrLKYPzPqgSJ5tLJOaV?utm_source=generator&theme=0,https://www.youtube.com/embed/PnyBP8L92s4?si=YY2AjFul-N_gnaqP
The-Four-Seasons,The Four Seasons,https://open.spotify.com/embed/track/34jh3zPcaX1hw6YThpe2Mq?utm_source=generator&theme=0,https://www.youtube.com/embed/7Xk6RP61Ms4?si=jIWo1j3IoCF65uo5
The-Four-Temperaments,The Four Temperaments,https://open.spotify.com/embed/track/0woMYoTWjqs0OE8NLW5mJg?utm_source=generator&theme=0,https://www.youtube.com/embed/dBqOG3mJyl0?si=JpAVBc9MaYMCttPJ
Liebeslieder-Walzer,Liebeslieder Walzer,https://open.spotify.com/embed/track/3z0uqqwhiBE4GDzRHl9y1U?utm_source=generator&theme=0,https://www.youtube.com/embed/tssf6bAaOdI?si=6L0xN2QaLsti77sK
Copland-Dance-Episodes,Copland Dance Episodes,https://open.spotify.com/embed/track/0ZdliwFyLsOCfD6hPSgoXX?utm_source=generator&theme=0,https://www.youtube.com/embed/OPeYXSkC-HM?si=M-2RCVZRk64qQ0l0
Rotunda,Rotunda,,https://www.youtube.com/embed/96lD33Wn8lQ?si=cjZv06SyeJ0MhS9u
Concerto-for-Two-Pianos,Concerto for Two Pianos,https://open.spotify.com/embed/track/0id9ysf0dF7lJivkb4AHFH?utm_source=generator&theme=0,https://www.youtube.com/embed/eX7sv50P2Dk?si=y1WmOQVrlYcyP7Z9
Odesa,Odesa,https://open.spotify.com/embed/track/1Sl63e81zw3ptMfi6KiCZc?utm_source=generator&theme=0,https://www.youtube.com/embed/c6nJNnqGzLI?si=VHWUATUg07OG-wVd
Opus-19-The-Dreamer,Opus 19/The Dreamer,https://open.spotify.com/embed/track/6YefHmtI3I2gh6kXic9SOp?utm_source=generator&theme=0,https://www.youtube.com/embed/g1q2538XZ3w?si=UfAhROAhAF__4z99
Solitude,Solitude,https://open.spotify.com/embed/track/4RJ2nyH9r5IJ3w5GvvyX48?utm_source=generator&theme=0,https://www.youtube.com/embed/bDO9bmE8M20?si=aNrpZE8jz_bG5liW
Polyphonia,Polyphonia,https://open.spotify.com/embed/track/6ZPy9wJTnko6l97xNzUpaW?utm_source=generator&theme=0,https://www.youtube.com/embed/8kYoT3sBsJY?si=hxKzGS5BRhiYfEEQ
Barber-Violin-Concerto,Barber Violin Concerto,https://open.spotify.com/embed/track/48xtu1m8H3O3xv2tBOryeh?utm_source=generator&theme=0,https://www.youtube.com/embed/datl3rzcy7Q?si=mwWi7TN57ytbVa1c
The-Times-Are-Racing,The Times Are Racing,https://open.spotify.com/embed/track/0rSfd4Stcfud4toetzIfMV?utm_source=generator&theme=0,https://www.youtube.com/embed/nj0nltZOf50?si=GmCFUJqqF5_uFRgX
Ballo-della-Regina,Ballo della Regina,https://open.spotify.com/embed/track/2OMYo7NAMaiPsA8negmeJx?utm_source=generator&theme=0,https://www.youtube.com/embed/5mr-GKV4sDk?si=jA9P6zFDACEfsSRp
In-a-Landscape,In a Landscape,https://open.spotify.com/embed/track/1wZyvbzDUWsghbR6RGyW5V?utm_source=generator&theme=0,
Hallelujah-Junction,Hallelujah Junction,https://open.spotify.com/embed/track/0lkddr8XvgjbZ5Pl2sVrZe?utm_source=generator&theme=0,https://www.youtube.com/embed/EDHsJ5aONCE?si=1F63V3ayqDaVtjeW
the-concert-or-the-perils-of-everybody,The Concert,https://open.spotify.com/embed/track/5iEx3XvzWo7100Dikd7m0Y?utm_source=generator&theme=0,https://www.youtube.com/embed/8J-OrlkxHNk?si=OBte2Wj3QaYBe58R
Carnival-of-the-Animals,Carnival of the Animals,https://open.spotify.com/embed/track/4zwJYkQub9jpv7SB2dHWUb?utm_source=generator&theme=0,
Tschaikovsky-Pas-de-Deux,Tschaikovsky Pas de Deux,https://open.spotify.com/embed/track/2b43sLeQC46njYmi5YE3by?utm_source=generator&theme=0,https://www.youtube.com/embed/sQeCVBdjw9w?si=9CvvCWb1BPXCRDnQ
